,Question
476,"
<p>Suppose you want to write a Python function that takes a list as a parameter and returns true if there are <em>no</em> instances of 3 immediately followed by a 4, and false otherwise.&nbsp; So this list returns True:&nbsp; [ 3 5 4 ]&nbsp; But this list returns false: [ 1 2 3 4 5 ].</p>
<pre lang=""text/x-python"">def no34(nums):
  for i in range(len(nums)-1):
    if nums[i]==3 and nums[i+1]==4:
      return False        #line1
    else:
      return True         #line2
  return False            #line3 
</pre>
<p>&nbsp;</p>
<p>What changes, if any, should be made to make this code correct</p>
"
477,"
<p>Consider this code segment:</p>
<pre lang=""text/x-java"">boolean x = false;
boolean y = true;
boolean z = true;
System.out.println( (!x || y &amp;&amp; !z) );
</pre>
<p>&nbsp;</p>
<p>What value is printed?</p>
"
478,"
<p>Determine if Java would evaluate the following boolean expression as true or false, or if there is something (syntactically) wrong with the expression:</p>
<code>(!x &amp;&amp; !y) &amp;&amp; (y &amp;&amp; z)</code>
"
479,"
<p>Consider this code segment:</p>
<pre lang=""text/x-java"">boolean x = false;
boolean y = true;
boolean z = true;
System.out.println( (x &amp;&amp; !y || z) );
</pre>
<p>&nbsp;</p>
<p>What value is printed?</p>
"
481,"
<p>Assume that an object of the following class has just been created:</p>
<pre lang=""text/x-java"">public class Unknown
{
    private int x;

    public Unknown()
    {
        x = 17;
        method1();
        method2(5);
        method3();
        System.out.println(x);      // Line D
    }

    public void method1()
    {
        --x;
        int x = this.x;
        x++;
        System.out.println(this.x); // Line A
    }

    public void method2(int x)
    {
        x++;
        System.out.println(x);      // Line B
    }

    public void method3()
    {
        --x;
        int x = 2;
        x++;
        System.out.println(x);      // Line C
    }
}
</pre>
<p>&nbsp;</p>
<p>What output is produced by <strong>Line D</strong> when an instance of this class is created?</p>
"
482,<p>Dummy question: all block-model tags</p>
483,"
<p>Consider the following partial and incomplete <code>SpellChecker</code> class that uses an <code>ArrayList</code> to hold a reference list of correctly-spelled words:</p>
<pre lang=""text/x-java"">public class SpellChecker
{
    private List&lt;String&gt; dictionary;   // spelling storage.    // Line 1

    // assume a constructor exists that correctly instantiates and
    // populates the list (i.e. loads the dictionary for the spellchecker)

    public boolean spelledCorrectly(String word)               // Line 2
    {
        for (int counter = 0; counter &lt; __________; counter++) // Line 3
        {
            if (word.equals(__________))                       // Line 4
            {
                return true;                                   // Line 5
            }
        }
        return false;                                          // Line 6
    }

    public void addWord(String word)                           // Line 7
    {
        if (__________) // check word is NOT already in the dictionary // Line 8
        {
            __________; // add word at end of the dictionary   // Line 9
        }
    }

    // other SpellChecker class methods would follow
}
</pre>
<p><br><span style=""font-family: arial, helvetica, sans-serif;"">Choose the best choice to fill in the blank on line 4 so that the code operates correctly.</span></p>
"
484,"
<p>The following class definitions illustrates which important object-oriented programming concept?</p>
<p>class Animal:<br>&nbsp; &nbsp; def __init__(self, name): # Constructor of the class<br>&nbsp; &nbsp; &nbsp; &nbsp; self.name = name<br>&nbsp; &nbsp; def talk(self): # Abstract method, defined by convention only<br>&nbsp; &nbsp; &nbsp; &nbsp; raise NotImplementedError(""Subclass must implement abstract method"")</p>
<p>class Cat(Animal):<br>&nbsp; &nbsp; def talk(self):<br>&nbsp; &nbsp; &nbsp; &nbsp; return 'Meow!'</p>
<p>class Dog(Animal):<br>&nbsp; &nbsp; def talk(self):<br>&nbsp; &nbsp; &nbsp; &nbsp; return 'Woof! Woof!'</p>
"
485,<p>Which of the following is the best definition of an algorithm?</p>
486,"
<p>Consider the code:<br><code>strcpy(str1, ""abc"");</code></p>
<code>strcat(str1, ""def"");</code><p><br>What is the value of str1?</p>
"
487,"
<p>Gianluca wants to sort the array array, which has a length of length. He writes the following C code to do this. Which sorting algorithm has he implemented?</p>
<p><br><code>void sort_array(int *array, int length)</code></p>
<pre lang=""text/x-c"">{
   int max, i, temp;
   while(length &gt; 0)
   {
       max = 0;
       for(i = 1; i &lt; length; i++)
           if(array[i] &gt; array[max])
                max = i;
       temp = array[length-1];
       array[length-1] = array[max];
       array[max] = temp;
       length--;
   }
}
</pre>
"
488,<p>The worst-case time complexity of insertion sort is:</p>
489,"<p>Bryon has dynamically allocated memory for an array named arr using malloc. Once he&rsquo;s<br>done using arr in his program, what single line of code should he write to free the block of<br>memory that arr points to?</p>"
490,"
<p>Gisele has written a method, <code>tabulate</code>:</p>
<p><br><code>double tabulate(double (*fun)(double), double x)</code></p>
<pre lang=""text/x-c"">{
    return (*fun)(x);
}
</pre>
<p>&nbsp;</p>
<p>Write a single line of code that will call<code>tabulate</code> and return sin(1.0).</p>
"
491,"
<p>Which of the following makes an appropriate pre-condition for this code?</p>
<pre lang=""text/x-c"">double calculate_percentage(double sum, double n)
{
   // calculates and returns a percentage given a sum and a length (n)
   // &lt;missing pre-condition&gt;
   // POST: none
   return (sum / n) * 100;
}
</pre>
"
493,"
<p>Junyoung runs the program after compiling with <code>gcc print random number.c -Wall</code>:</p>
<p><br><code>#include&lt;stdlib.h&gt;</code></p>
<pre lang=""text/x-c"">int main()
{
   int x = rand();
   printf(""%d\n"", x);
}
</pre>
<p><br>What is <strong>not</strong> true about it?</p>
"
494,"
<p>Fill in the incomplete line of code so this recursively prints the contents of the array <code>arr</code>:</p>
<p><br><code>void print_array(int *arr, int length)</code></p>
<pre lang=""text/x-c"">{
   if(length &gt; 0)
   {
      printf(""%d\n"", *arr);
</pre>
<p><code>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; print_array(arr + 1, <strong>____________ </strong></code><code>);</code></p>
<pre lang=""text/x-c"">   }
}
</pre>
"
495,"
<p>Consider the following partial and incomplete <code>SpellChecker</code> class that uses an <code>ArrayList</code> to hold a reference list of correctly-spelled words:</p>
<pre lang=""text/x-java"">public class SpellChecker
{
    private List&lt;String&gt; dictionary;   // spelling storage.    // Line 1

    // assume a constructor exists that correctly instantiates and
    // populates the list (i.e. loads the dictionary for the spellchecker)

    public boolean spelledCorrectly(String word)               // Line 2
    {
        for (int counter = 0; counter &lt; __________; counter++) // Line 3
        {
            if (word.equals(__________))                       // Line 4
            {
                return true;                                   // Line 5
            }
        }
        return false;                                          // Line 6
    }

    public void addWord(String word)                           // Line 7
    {
        if (__________) // check word is NOT already in the dictionary // Line 8
        {
            __________; // add word at end of the dictionary   // Line 9
        }
    }

    // other SpellChecker class methods would follow
}
</pre>
<p><br><span style=""font-family: arial, helvetica, sans-serif;"">Choose the best choice to fill in the blank on line 9 so that the code operates correctly.</span></p>
"
496,"<p>Seray is hashing the values 6, 96, 33, 77 into a hash table of size 10. Which hash function will give her no collisions?</p>"
497,"<p>What does <code>atoi(""hello"")</code> return?</p>"
498,"<p>In a hashtable that uses separate chaining to handle collisions, what, if any, restrictions should be placed on the table size?</p>"
499,"
<p>The <strong>Fibonacci sequence</strong> is 0, 1, 1, 2, 3, 5, 8, 13 ... Any term (value) of the sequence that follows the first two terms (0 and 1) is equal to the sum of the preceding two terms. Consider the following incomplete method to compute any term of the Fibonacci sequence:</p>
<pre lang=""text/x-java"">public static int fibonacci(int term)
{
    int fib1 = 0;          // Line 1
    int fib2 = 1;          // Line 2
    int fibn = 0;          // Line 3

    if (term == 1)         // Line 4
    {
        return fib1;       // Line 5
    }
    if (term == 2)         // Line 6
    {
        return fib2;       // Line 7
    }

    for (__________)       // Line 8: loop to the nth term
    {
        fibn = __________; // Line 9: compute the next term
        fib1 = __________; // Line 10: reset the second preceding term
        fib2 = __________; // Line 11: reset the immediate preceding term
    }
    return fibn;           // Line 12: return the computed term
}


<span style=""font-family: arial, helvetica, sans-serif;"">Choose the best answer to fill in the blank on line 9.
</span></pre>
"
500,"
<p>Which of the following is most appropriate as the missing post-condition?</p>
<p><br><code>void move_north_east(int *x, int *y)</code></p>
<pre lang=""text/x-c"">{
    // Moves a robot north-east in our coordinate system
    // by one step north and one step east
    // PRE: x != NULL, y != NULL
    // &lt;missing post-condition&gt;
    (*x)++;
    (*y)++;
}
</pre>
"
501,"
<p>The <strong>Fibonacci sequence</strong> is 0, 1, 1, 2, 3, 5, 8, 13 ... Any term (value) of the sequence that follows the first two terms (0 and 1) is equal to the sum of the preceding two terms. Consider the following incomplete method to compute any term of the Fibonacci sequence:</p>
<pre lang=""text/x-java"">public static int fibonacci(int term)
{
    int fib1 = 0;          // Line 1
    int fib2 = 1;          // Line 2
    int fibn = 0;          // Line 3

    if (term == 1)         // Line 4
    {
        return fib1;       // Line 5
    }
    if (term == 2)         // Line 6
    {
        return fib2;       // Line 7
    }

    for (__________)       // Line 8: loop to the nth term
    {
        fibn = __________; // Line 9: compute the next term
        fib1 = __________; // Line 10: reset the second preceding term
        fib2 = __________; // Line 11: reset the immediate preceding term
    }
    return fibn;           // Line 12: return the computed term
}


</pre>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Choose the best answer to fill in the blank on line 10.</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">&nbsp;</span></p>
"
502,"
<p>Dhruv has some recursive code that contains the base case <code>if(left &gt; right)</code></p>
<p><br>Which algorithm is he <em>most</em> likely to be implementing?</p>
"
503,"
<p>The <strong>Fibonacci sequence</strong> is 0, 1, 1, 2, 3, 5, 8, 13 ... Any term (value) of the sequence that follows the first two terms (0 and 1) is equal to the sum of the preceding two terms. Consider the following incomplete method to compute any term of the Fibonacci sequence:</p>
<pre lang=""text/x-java"">public static int fibonacci(int term)
{
    int fib1 = 0;          // Line 1
    int fib2 = 1;          // Line 2
    int fibn = 0;          // Line 3

    if (term == 1)         // Line 4
    {
        return fib1;       // Line 5
    }
    if (term == 2)         // Line 6
    {
        return fib2;       // Line 7
    }

    for (__________)       // Line 8: loop to the nth term
    {
        fibn = __________; // Line 9: compute the next term
        fib1 = __________; // Line 10: reset the second preceding term
        fib2 = __________; // Line 11: reset the immediate preceding term
    }
    return fibn;           // Line 12: return the computed term
}


</pre>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Choose the best answer to fill in the blank on line 11.</span></p>
"
504,"
<p>Polymorphism is used when different classes we are modeling can do the same thing (i.e. respond to the same method calls), and we don't know which class an object will be at compile time. In Java, this can be implemented using either inheritance or interfaces.</p>
<p>Choose the best reason below for choosing inheritance polymorphism</p>
"
505,"
<p><span style=""font-family: arial, helvetica, sans-serif;"">Given the following Java code:</span></p>
<pre lang=""text/x-java"">if (x &gt;= 0) {
   System.out.println(""1"");
} else if (x &lt; 20) {
   System.out.println(""2"");
} else {
   System.out.println(""3"");
}
System.out.println(""4"");
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">For what integer values of <code>x</code> will 1 be among the values printed?</span></p>
"
506,"<p>You are looking for a method getSequence(int n, char c) that returns a String of n characters c. Which of the following will not meet your needs?</p>"
507,"
<pre lang=""text/x-java"">public class RecursiveMath
   ...
   public int fib (int a) {
      if (a &lt; 2)
         return a;
      else
         return fib(a-1) + fib(a-2); 
   }
   ...
}
</pre>
<p>&nbsp;</p>
<p>Given the above definition, what is the result of executing the following?</p>
<pre lang=""text/x-java"">RecursiveMath bill = new RecursiveMath();
int x = bill.fib(-1);
</pre>
"
508,"
<pre lang=""text/x-java"">public class RecursiveMath
   ...
   public int fib (int a) {
      if (a &lt; 2)
         return a;
      else
         return fib(a-1) + fib(a-2); 
   }
...
}
</pre>
<p>&nbsp;</p>
<p>What is the base case for <code>fib</code> in the above definition?</p>
"
509,"
<p>What is the difference between</p>
<p><br><code>struct node* linked_list_node = malloc(sizeof(struct node));</code></p>
<pre lang=""text/x-c"">linked_list_node-&gt;val = 3;
linked_list_node-&gt;next = NULL;
</pre>
<p>&nbsp;</p>
<p>and:</p>
<p><br><code>struct node linked_list_node;</code></p>
<pre lang=""text/x-c"">linked_list_node.val = 3;
linked_list_node.next = NULL;
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial,helvetica,sans-serif;"">?</span></p>
"
510,"
<p>Consider the code</p>
<p><br><code>struct capacitor{</code></p>
<pre lang=""text/x-c"">    double capacitance;
};
</pre>
<p>&nbsp;</p>
<p>If given the variable struct capacitor *cap, which of the following will NOT print the address of cap&rsquo;s capacitance?</p>
"
511,"
<p>Consider the following partial and incomplete <code>SpellChecker</code> class that uses an <code>ArrayList</code> to hold a reference list of correctly-spelled words:</p>
<pre lang=""text/x-java"">public class SpellChecker
{
    private List&lt;String&gt; dictionary;   // spelling storage.    // Line 1

    // assume a constructor exists that correctly instantiates and
    // populates the list (i.e. loads the dictionary for the spellchecker)

    public boolean spelledCorrectly(String word)               // Line 2
    {
        for (int counter = 0; counter &lt; __________; counter++) // Line 3
        {
            if (word.equals(__________))                       // Line 4
            {
                return true;                                   // Line 5
            }
        }
        return false;                                          // Line 6
    }

    public void addWord(String word)                           // Line 7
    {
        if (__________) // check word is NOT already in the dictionary // Line 8
        {
            __________; // add word at end of the dictionary   // Line 9
        }
    }

    // other SpellChecker class methods would follow
}
</pre>
<p><br><span style=""font-family: arial, helvetica, sans-serif;"">Choose the best choice to fill in the blank on line 3 so that the code operates correctly.</span></p>
"
512,"
<p>Consider the following partial and incomplete <code>SpellChecker</code> class that uses an <code>ArrayList</code> to hold a reference list of correctly-spelled words:</p>
<pre lang=""text/x-java"">public class SpellChecker
{
    private List&lt;String&gt; dictionary;   // spelling storage.    // Line 1

    // assume a constructor exists that correctly instantiates and
    // populates the list (i.e. loads the dictionary for the spellchecker)

    public boolean spelledCorrectly(String word)               // Line 2
    {
        for (int counter = 0; counter &lt; __________; counter++) // Line 3
        {
            if (word.equals(__________))                       // Line 4
            {
                return true;                                   // Line 5
            }
        }
        return false;                                          // Line 6
    }

    public void addWord(String word)                           // Line 7
    {
        if (__________) // check word is NOT already in the dictionary // Line 8
        {
            __________; // add word at end of the dictionary   // Line 9
        }
    }

    // other SpellChecker class methods would follow
}
</pre>
<p><br><span style=""font-family: arial, helvetica, sans-serif;"">Choose the best choice to fill in the blank on line 8 so that the code operates correctly.</span></p>
"
513,"
<pre lang=""text/x-java"">1. public BallPanel extends javax.swing.JPanel {
2.    private Ball[] _balls;
3.    public BallPanel(int numberOfBalls){
4.       _balls = new Ball[numberOfBalls];
5.       for (int i=0;i&lt;_balls.length;i++)
6.          _balls[i] = new Ball();
7.    }
8.    public void ballCopy () {
9.       Ball[] temp = new Ball[2 * _balls.length];
10.      for (int j=0; j&lt; _balls.length; j++0)
11.         _temp[j] = _balls[j];
12.      _balls = temp; 
13.   }
13. ...
</pre>
<p>&nbsp;</p>
<p>After executing</p>
<pre lang=""text/x-java"">BallPanel myPanel = new BallPanel(10);
_myPanel.ballCopy();
</pre>
<p>&nbsp;</p>
<p>Which of the following is true?</p>
"
514,"
<p>Consider the following method and indicate what value is displayed from the initial call statement from another method:</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;System.out.println(Ackermann(2,3));</p>
<p>public int Ackermann(int n, int m) {<br>&nbsp; &nbsp; &nbsp;if (n==0)<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; return (m+1);<br>&nbsp; &nbsp; &nbsp;else if (m==0)<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; return (Ackermann(n-1,1));<br>&nbsp; &nbsp; &nbsp;else&nbsp;<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; return (Ackermann(n-1,Ackermann(n,m-1)));<br>}</p>
"
515,<p>Which of the following algorithms use a divide-and-conquer strategy? (Circle all that apply.)</p>
516,"
<pre lang=""text/x-java"">1. public BallPanel extends javax.swing.JPanel {
2.    private Ball[] _balls;
3.    private Ball[] _moreBalls;
4.    public BallPanel(int numberOfBalls){
5.       _balls = new Ball[numberOfBalls];
6.       for (int i=0;i&lt;_balls.length;i++)
7.          _balls[i] = new Ball();
8.       _moreBalls = _balls;
9.    }
10.   public Ball[] getBalls(){
11.      return _balls;
12.   }
13.   public Ball[] getMoreBalls(){
14.      return _moreBalls;
15.   }
16.  ...
</pre>
<p>&nbsp;</p>
<p>Which of the following statements is true, after executing the following code</p>
<p>(assuming Ball has a constructor that takes a Color argument).</p>
<pre lang=""text/x-java"">BallPanel myPanel = new BallPanel(5);
myPanel.getMoreBalls()[0] = new Ball(java.awt.Color.pink);
</pre>
<p>&nbsp;</p>
<p>?</p>
"
517,"
<p>Consider the following function. What does it return?</p>
<p><br>public boolean nameTester(String inValue) {<br>&nbsp; &nbsp; String oldValue = ""mikeyg"";<br>&nbsp; &nbsp; return (inValue == oldValue);<br>}</p>
"
518,<p>Which of the following pairs of statements has two statements that are NOT equivalent?</p>
519,"
<p>The following method, called maxRow(), is intended to take one parameter: a List where the elements are Lists of Integer objects. You can think of this parameter as a matrix--a list of rows, where each row is a list of ""cells"" (plain integers). The method sums up the integers in each row (each inner list), and returns the index (row number) of the row with the largest row sum. Choose the best choice to fill in the blank on <strong>Line 3</strong> so that this method works as intended:</p>
<pre lang=""text/x-java"">public static int maxRow(List&lt;List&lt;Integer&gt;&gt; matrix)
{
    int maxVec = -1;                                // Line 1
    int maxSum = Integer.MIN_VALUE;                 // Line 2

    for (int row = 0; row &lt; __________; row++)      // Line 3
    {
        int sum = 0;                                // Line 4
        for (int col = 0; col &lt; __________; col++)  // Line 5
        {
            sum = sum + __________;                 // Line 6
        }
        if (___________)                            // Line 7
        {
            maxSum = __________;                    // Line 8
            maxVec = __________;                    // Line 9
        }
    }
    return maxVec;                                  // Line 10
}
</pre>
"
520,<p>Which of the following run-times is NOT characteristic of a <em>feasible</em> (or <em>tractable</em>) algorithm?</p>
521,"
<p>Consider the code</p>
<p><br><code>int i, *q, *p;</code></p>
<pre lang=""text/x-c"">p = &amp;i;
q = p;
*p = 5;
</pre>
<p><br>Which of the following will print out &ldquo;The value is 5.&rdquo;?</p>
"
522,"
<p>Consider the code</p>
<p><br><code>int *p, *q, i;</code></p>
<pre lang=""text/x-c"">i = 3;
q = p;
q = &amp;i;
printf(""The value of p is %d which points to %d.\n"", p, *p);
</pre>
<p><br>Which of the following would you expect the program to print?</p>
"
523,"
<p>Consider the following predicate (boolean) <em>accessor</em> function:</p>
<p>def blockedWithinOneMove(self):<br>&nbsp; if (not self.frontIsClear()):<br>&nbsp; &nbsp; return (True)<br>&nbsp; else:<br>&nbsp; &nbsp; self.move()<br>&nbsp; &nbsp; if (not self.frontIsClear()):<br>&nbsp; &nbsp; &nbsp; return (True)<br>&nbsp; &nbsp; else:<br>&nbsp; &nbsp; &nbsp; return (False)</p>
<p><br>What is logically wrong with this predicate accessor function? The error is semantic and not syntactic.</p>
"
524,"
<p>What value will this code print out on a 64-bit Linux machine with gcc?</p>
<pre lang=""text/x-c"">int main
{
    int key = get_key(""zflsbi-k#gk!2*8jc5r:/bb&amp;fc:j\x42\x20\x46\x4e"");
    printf(""%d\n"", key);
}

int get_key(char *bar)
{
</pre>
<p><code>&nbsp;&nbsp;&nbsp; // PRE: bar is != NULL</code><code><br>&nbsp;&nbsp;&nbsp; // POST: key is a happy number!</code></p>
<code>    assert(bar);</code><p><br><code>&nbsp;&nbsp;&nbsp; int key = 10;</code></p>
<pre lang=""text/x-c"">    char c[28];
    memcpy(c, bar, strlen(bar));
</pre>
<p><br><code>&nbsp;&nbsp;&nbsp; assert(key &lt;= INT_MAX &amp;&amp; key &gt; INT_MIN);</code></p>
<pre lang=""text/x-c"">    return key;
}
</pre>
"
525,"
<pre lang=""text/x-java"">1. import java.util.ArrayList;
2. public BallPanel extends javax.swing.JPanel {
3.    private Ball[] _balls;
4.    private ArrayList &lt;Ball&gt; _moreBalls;
5.    public BallPanel(){
6.       _balls = new Ball[20];
7.       _moreBalls = new ArrayList&lt;Ball&gt;();
8.       for (int i=0;i&lt;10;i++) {
9.          _balls[i] = new Ball();
10.         _moreBalls.add(_balls[i]);
11.      }
12.   }
13. ...
</pre>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>After line 11, what are the values of<code> _balls.length</code> and <code>_moreBalls.size()</code> respectively?</p>
"
526,"
<p>Consider this method skeleton for <code>findDigit()</code>:</p>
<pre lang=""text/x-java"">/**
* Returns the number of times the digit d occurs in the decimal
* representation of n.
* @param n The number to consider (must be non-negative).
* @param d The digit to look for (must be 0-9).
* Returns the number of times d occurs in the printed representation
* of n.
*/
public int findDigit(int n, int d)  // Line 1
{
    int count = 0;                  // Line 2
    if (__________)                 // Line 3
    {
        __________;                 // Line 4
    }
    while (n &gt; 0)                   // Line 5
    {
        if (n % 10 == d)            // Line 6
        {
            count++;                // Line 7
        }
        return 1;                   // Line 8
    }
    return count;                   // Line 9
}
</pre>
<p><br><span style=""font-family: arial, helvetica, sans-serif;"">Select the best choice to fill in the blank on line 3 in this method to produce the correct behavior.</span></p>
"
527,"
<p>Consider this method skeleton for <code>findDigit()</code>:</p>
<pre lang=""text/x-java"">/**
* Returns the number of times the digit d occurs in the decimal
* representation of n.
* @param n The number to consider (must be non-negative).
* @param d The digit to look for (must be 0-9).
* Returns the number of times d occurs in the printed representation
* of n.
*/
public int findDigit(int n, int d)  // Line 1
{
    int count = 0;                  // Line 2
    if (n == 0 &amp;&amp; d == 0)           // Line 3
    {
        __________;                 // Line 4
    }
    while (n &gt; 0)                   // Line 5
    {
        if (n % 10 == d)            // Line 6
        {
            count++;                // Line 7
        }
        __________;                 // Line 8
    }
    return count;                   // Line 9
}
</pre>
<p><br><span style=""font-family: arial, helvetica, sans-serif;"">Select the best choice to fill in the blank on line 4 in this method to produce the correct behavior.</span></p>
"
528,"
<p>What algorithm does <em>mystery</em> implement when passed a list of values as its argument?</p>
<p>def helper (listOfValues, start):<br>&nbsp; &nbsp; largestSoFar = listOfValues[start]<br>&nbsp; &nbsp; largestIndex = start<br>&nbsp; &nbsp; current = start+1<br>&nbsp; &nbsp; while (current &lt; len(listOfValues)):<br>&nbsp; &nbsp; &nbsp; &nbsp; if (listOfValues[current] &gt; largestSoFar):<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; largestSoFar = listOfValues[current]<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; largestIndex = current<br>&nbsp; &nbsp; &nbsp; &nbsp; current = current + 1<br>&nbsp; &nbsp; return (largestIndex)</p>
<p>def mystery (listOfValues):<br>&nbsp; &nbsp; leftEdge = 0<br>&nbsp; &nbsp; while (leftEdge &lt; (len(listOfValues)-1)):<br>&nbsp; &nbsp; &nbsp; &nbsp; biggestPosition = helper (listOfValues, leftEdge)<br>&nbsp; &nbsp; &nbsp; &nbsp; temp = listOfValues[biggestPosition]<br>&nbsp; &nbsp; &nbsp; &nbsp; listOfValues[biggestPosition] = listOfValues[leftEdge]<br>&nbsp; &nbsp; &nbsp; &nbsp; listOfValues[leftEdge] = temp</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; leftEdge = leftEdge + 1</p>
<p>&nbsp; &nbsp; return (listOfValues)</p>
"
529,"
<p>Consider the following interface definition:</p>
<pre lang=""text/x-java"">public interface Mover {
   public int getX();
   public int getY();
   public void setLocation(int x, int y);
}
</pre>
<p>&nbsp;</p>
<p>Choose the best answer to describe the following implementation of that interface:</p>
<pre lang=""text/x-java"">public class CartoonCharacter implements Mover{
   private int x, y;
   public int getX() {return this.x;}
   public int getY() {return this.y;}
}
</pre>
"
530,"
<p>What does the following Python method do? &nbsp;</p>
<p>Note: lov stands for list of values.</p>
<p>def foo (lov):<br>&nbsp; &nbsp; listSize = len(lov)<br>&nbsp; &nbsp; current = 1<br>&nbsp; &nbsp; flag = True<br>&nbsp; &nbsp; while ((current &lt; listSize) and flag):<br>&nbsp; &nbsp; &nbsp; &nbsp; if (lov[current] &lt; lov[current-1]):<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; flag = False<br>&nbsp; &nbsp; &nbsp; &nbsp; current = current + 1<br>&nbsp; &nbsp; return (flag)</p>
"
531,"
<p>Consider the following class definition:</p>
<p>public class Mystery {</p>
<p>private ArrayList&lt;Stuff&gt; myStuff;</p>
<p><br>public&nbsp;Mystery()&nbsp;{<br>&nbsp; &nbsp;myStuff = new ArrayList&lt;Stuff&gt; ();<br>}</p>
<p><br>public Stuff foo1 (int id)&nbsp;{<br>&nbsp; &nbsp;int i = 42;</p>
<p>&nbsp; &nbsp;... code deleted...</p>
<p>&nbsp; &nbsp;return myStuff[i];<br>}</p>
<p>public void foo2 (int id) {<br>&nbsp; &nbsp;int i = -2;</p>
<p>&nbsp; &nbsp;... code deleted...<br>}</p>
<p>public Stuff foo3 (int id) {<br>&nbsp; &nbsp;int i = 0;<br>&nbsp; &nbsp;... code deleted...<br>&nbsp; &nbsp;return myStuff[i];<br>}</p>
<p>} // End of class Mystery</p>
<p>True or False: ""i"" should be upgraded to an instance variable.</p>
"
532,"
<p>Consider the following Java implementation of a Stack:</p>
<pre lang=""text/x-java"">public class Stack&lt;E&gt; extends LinkedList&lt;E&gt;{
  private int size=0;
  public int size(){
    return size;
  }
  public void push(E e){
    add(e);
    size+=1;
  }
  public E pop() {
    size-=1;
    return removeLast();
  }
}
</pre>
<p>&nbsp;</p>
<p>What does the following code output?</p>
<pre lang=""text/x-java"">Stack&lt;Integer&gt; q=new Stack&lt;Integer&gt;();
q.push(10);
q.push(20);
q.clear();  // clear() is inherited from LinkedList

System.out.println(q.size());
</pre>
"
533,<p>The<em> All-Pairs</em> list programming pattern typically runs in time?</p>
534,<p>C++ uses</p>
535,"
<p>Assume M and N are positive integers.&nbsp; What does the following code print?</p>
<pre lang=""text/x-java"">int sum=0;
for (int j=0; j&lt;M; j++) {
   for (int i=0; i&lt;N; i++) {
      sum += 1;
   }
}
System.out.println(sum);
</pre>
"
536,"
<p>Consider the following:</p>
<p>public void foo (int x) {</p>
<p>...</p>
<p>}</p>
<p>What is x?</p>
"
537,<p>Java uses:</p>
538,"
<pre lang=""text/x-java"">1. public BallPanel extends javax.swing.JPanel {
2.    private Ball[] _balls;
3.    public BallPanel(int numberOfBalls){
4.       _balls = new Ball[numberOfBalls];
5.       for (int i=0;i&lt;_balls.length;i++)
6.          _balls[i] = new Ball();
7.    }
8.    public void ballCopy () {
9.       Ball[] temp = new Ball[2 * _balls.length];
10.      for (int j=0; j&lt; _balls.length; j++0)
11.         _temp[j] = _balls[j];
12.     _balls = temp;
13.   }
13. ...
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial,helvetica,sans-serif;"">What is the purpose of the <code>ballCopy</code> method?</span></p>
"
539,"
<p>Consider this method skeleton for <code>findDigit()</code>:</p>
<pre lang=""text/x-java"">/**
* Returns the number of times the digit d occurs in the decimal
* representation of n.
* @param n The number to consider (must be non-negative).
* @param d The digit to look for (must be 0-9).
* Returns the number of times d occurs in the printed representation
* of n.
*/
public int findDigit(int n, int d)  // Line 1
{
    int count = 0;                  // Line 2
    if (__________)                 // Line 3
    {
        __________;                 // Line 4
    }
    while (n &gt; 0)                   // Line 5
    {
        if (n % 10 == d)            // Line 6
        {
            count++;                // Line 7
        }
        __________;                 // Line 8
    }
    return count;                   // Line 9
}
</pre>
<p><br><span style=""font-family: arial, helvetica, sans-serif;"">Select the best choice to fill in the blank on line 8 in this method to produce the correct behavior.</span></p>
"
540,"
<p>Consider the following: &nbsp;When foo is executed, what is printed out?</p>
<p>public void foo () {</p>
<p>&nbsp; &nbsp; &nbsp;int x = 42;</p>
<p>&nbsp; &nbsp; &nbsp;int y = 24;</p>
<p>&nbsp; &nbsp; &nbsp;mystery (x, y);</p>
<p>&nbsp; &nbsp; &nbsp;System.out.println (x + "" &nbsp;"" + y);</p>
<p>}</p>
<p>public void mystery (int var1, int var2) {<br>&nbsp; &nbsp; &nbsp;int temp = var1;&nbsp;<br>&nbsp; &nbsp; &nbsp;var1 = var2;<br>&nbsp; &nbsp; &nbsp;var2 = temp;<br>}</p>
"
